Number,Created,Activated,Region,Chain,Store
0768831129,2021-09-29,2021-09-30,RegionGöteborgSyd,OKQ8,OKQ8Tvååker
0706354062,2021-09-29,2021-09-30,RegionStockholmSyd,Mediamarkt,MediaMarktNorrköping
0768826130,2021-09-29,2021-09-30,RegionGöteborgNorr,CircleK,CirclekFloda
0708536267,2021-09-28,2021-09-30,RegionSydost,Ica,IcaMaxiOlofströmB
0705314261,2021-09-28,2021-09-30,RegionGöteborgNorr,Elgiganten,ElgigantenTPHLerum
0708536327,2021-09-28,2021-09-30,RegionSydost,Elon,ElonOlofströmB
0721741667,2021-09-28,2021-09-29,RegionNorr,Coop,StoraCoopLudvika
0729984982,2021-09-28,2021-09-29,RegionSydost,Ingenkedja,CharmigCham2020
0705316445,2021-09-28,2021-09-30,RegionGöteborgNorr,Elgiganten,ElgigantenPartille
0768918142,2021-09-27,2021-09-29,RegionSkåneNorr,Ica,IcaMaxiMellbystrand
0705284288,2021-09-27,2021-09-28,RegionSkåneSyd,Ingenkedja,Lagamobilen.semobilia
0768833898,2021-09-27,2021-09-30,RegionStockholm,ATG,Ribbainspel&tobak
0708530926,2021-09-27,2021-09-30,RegionSydost,Elgiganten,ElgigantenKarlskronaA
0768910530,2021-09-27,2021-09-30,RegionSkåneSyd,Elgiganten,ElgigantenMobiliaMalmö
0729750930,2021-09-27,2021-09-28,RegionStockholm,Teknikmagasinet,Teknikmagasinetmallofscandinavia
0729750940,2021-09-27,2021-09-28,RegionStockholm,Teknikmagasinet,Teknikmagasinetmallofscandinavia
0768825566,2021-09-27,2021-09-28,RegionGöteborgNorr,Euronics,EuronicsSimonsRadioTV
0768825466,2021-09-27,2021-09-28,RegionGöteborgNorr,Euronics,EuronicsSimonsRadioTV
0768927585,2021-09-27,2021-09-28,RegionSkåneNorr,Elon,ElonKristianstad
0705529513,2021-09-27,2021-09-28,RegionSkåneNorr,Elon,ElonKristianstad
0705543797,2021-09-27,2021-09-29,RegionSkåneNorr,Euronics,EuronicsPhoneStoreC4Kristianstad
0705543547,2021-09-27,2021-09-30,RegionSkåneNorr,Euronics,EuronicsPhoneStoreC4Kristianstad
0706344915,2021-09-24,2021-09-26,RegionGöteborgSyd,Elgiganten,ElgigantenNordstan
0706324110,2021-09-24,2021-09-26,RegionGöteborgSyd,Elgiganten,ElgigantenNordstan
0706323797,2021-09-24,2021-09-29,RegionGöteborgSyd,Elgiganten,ElgigantenNordstan
0706323892,2021-09-24,2021-09-27,RegionGöteborgSyd,Elgiganten,ElgigantenNordstan
0706325007,2021-09-24,2021-09-29,RegionGöteborgSyd,Elgiganten,ElgigantenNordstan
